"","x"
"2020-07-01",3.25
"2020-08-01",3.25
"2020-09-01",3.25
"2020-10-01",3.25
"2020-11-01",3.25
"2020-12-01",3.25
"2021-01-01",3.25
"2021-02-01",3.25
"2021-03-01",3.25
"2021-04-01",3.25
"2021-05-01",3.25
"2021-06-01",3.25
"2021-07-01",3.25
"2021-08-01",3.25
"2021-09-01",3.25
"2021-10-01",3.25
"2021-11-01",3.25
"2021-12-01",3.25
"2022-01-01",3.25
"2022-02-01",3.25
"2022-03-01",3.37
"2022-04-01",3.5
"2022-05-01",3.94
"2022-06-01",4.38
"2022-07-01",4.85
"2022-08-01",5.5
"2022-09-01",5.73
"2022-10-01",6.25
"2022-11-01",6.95
"2022-12-01",7.27
"2023-01-01",7.5
"2023-02-01",7.74
"2023-03-01",7.82
"2023-04-01",8
"2023-05-01",8.23
"2023-06-01",8.25
"2023-07-01",8.29
"2023-08-01",8.5
"2023-09-01",8.5
"2023-10-01",8.5
"2023-11-01",8.5
"2023-12-01",8.5
"2024-01-01",8.5
"2024-02-01",8.5
"2024-03-01",8.5
"2024-04-01",8.5
"2024-05-01",8.5
"2024-06-01",8.5
"2024-07-01",8.5
"2024-08-01",8.5
"2024-09-01",8.3
"2024-10-01",8
"2024-11-01",7.81
"2024-12-01",7.65
"2025-01-01",7.5
"2025-02-01",7.5
"2025-03-01",7.5
"2025-04-01",7.5
"2025-05-01",7.5
"2025-06-01",7.5
"2025-07-01",7.5
"2025-08-01",7.5
"2025-09-01",7.38
"2025-10-01",7.23
"2025-11-01",7
"2025-12-01",6.83
"2026-01-01",6.75
"2026-02-01",6.75
"2026-03-01",6.75
"2026-04-01",6.75
"2026-05-01",6.75
"2026-06-01",6.75
